mob								
怪物编号	怪物avatar	怪物攻击	怪物血量	怪物速度	怪物类型	怪物死亡加魔法值	怪物功能类型	不可中buff
11080011	1108	1	380	40	6	2	0	[]
11080012	1108	1	410	40	6	2	0	[]
11080013	1108	1	440	40	6	2	0	[]
11080014	1108	1	470	40	6	2	0	[]
11080015	1108	1	500	40	6	2	0	[]
11080016	1108	1	530	40	6	2	0	[]
11080017	1108	1	560	40	6	2	0	[]
11080018	1108	1	590	40	6	2	0	[]
11080019	1108	1	620	40	6	2	0	[]
11080020	1108	1	650	40	6	2	0	[]
11080021	1108	1	700	40	6	2	0	[]
11080022	1108	1	715	40	6	2	0	[]
11080023	1108	1	730	40	6	2	0	[]
11080024	1108	1	745	40	6	2	0	[]
11080025	1108	1	760	40	6	2	0	[]
11080026	1108	1	775	40	6	2	0	[]
11080027	1108	1	790	40	6	2	0	[]
11080028	1108	1	805	40	6	2	0	[]
11080029	1108	1	820	40	6	2	0	[]
11080030	1108	1	835	40	6	2	0	[]
11080031	1108	1	850	40	6	2	0	[]
11080032	1108	1	865	40	6	2	0	[]
11080033	1108	1	880	40	6	2	0	[]
11080034	1108	1	895	40	6	2	0	[]
11080035	1108	1	910	40	6	2	0	[]
11080036	1108	1	925	40	6	2	0	[]
11080037	1108	1	940	40	6	2	0	[]
11080038	1108	1	955	40	6	2	0	[]
11080039	1108	1	970	40	6	2	0	[]
11080040	1108	1	985	40	6	2	0	[]
11080041	1108	1	1000	40	6	2	0	[]
11080042	1108	1	1020	40	6	2	0	[]
11080043	1108	1	1040	40	6	2	0	[]
11080044	1108	1	1060	40	6	2	0	[]
11080045	1108	1	1080	40	6	2	0	[]
11080046	1108	1	1100	40	6	2	0	[]
11080047	1108	1	1120	40	6	2	0	[]
11080048	1108	1	1140	40	6	2	0	[]
11080049	1108	1	1160	40	6	2	0	[]
11080050	1108	1	1180	40	6	2	0	[]
11080051	1108	1	1200	40	6	2	0	[]
11080052	1108	1	1220	40	6	2	0	[]
11080053	1108	1	1240	40	6	2	0	[]
11080054	1108	1	1260	40	6	2	0	[]
11080055	1108	1	1280	40	6	2	0	[]
11080056	1108	1	1300	40	6	2	0	[]
11080057	1108	1	1320	40	6	2	0	[]
11080058	1108	1	1340	40	6	2	0	[]
11080059	1108	1	1360	40	6	2	0	[]
11080060	1108	1	1380	40	6	2	0	[]
11080061	1108	1	1400	40	6	2	0	[]
11080062	1108	1	1420	40	6	2	0	[]
11080063	1108	1	1440	40	6	2	0	[]
11080064	1108	1	1460	40	6	2	0	[]
11080065	1108	1	1480	40	6	2	0	[]
11080066	1108	1	1500	40	6	2	0	[]
11080067	1108	1	1520	40	6	2	0	[]
11080068	1108	1	1540	40	6	2	0	[]
11080069	1108	1	1560	40	6	2	0	[]
11080070	1108	1	1580	40	6	2	0	[]
11080071	1108	1	1600	40	6	2	0	[]
11080072	1108	1	1620	40	6	2	0	[]
11080073	1108	1	1640	40	6	2	0	[]
11080074	1108	1	1660	40	6	2	0	[]
11080075	1108	1	1680	40	6	2	0	[]
11080076	1108	1	1700	40	6	2	0	[]
11080077	1108	1	1720	40	6	2	0	[]
11080078	1108	1	1740	40	6	2	0	[]
11080079	1108	1	1760	40	6	2	0	[]
11080080	1108	1	1780	40	6	2	0	[]
11080081	1108	1	1800	40	6	2	0	[]
11080082	1108	1	1820	40	6	2	0	[]
11080083	1108	1	1840	40	6	2	0	[]
11080084	1108	1	1860	40	6	2	0	[]
11080085	1108	1	1880	40	6	2	0	[]
11080086	1108	1	1900	40	6	2	0	[]
11080087	1108	1	1920	40	6	2	0	[]
11080088	1108	1	1940	40	6	2	0	[]
11080089	1108	1	1960	40	6	2	0	[]
11080090	1108	1	1980	40	6	2	0	[]
11080091	1108	1	2000	40	6	2	0	[]
11080092	1108	1	2020	40	6	2	0	[]
11080093	1108	1	2040	40	6	2	0	[]
11080094	1108	1	2060	40	6	2	0	[]
11080095	1108	1	2080	40	6	2	0	[]
11080096	1108	1	2100	40	6	2	0	[]
11080097	1108	1	2120	40	6	2	0	[]
11080098	1108	1	2140	40	6	2	0	[]
11080099	1108	1	2160	40	6	2	0	[]
11080100	1108	1	2180	40	6	2	0	[]
11080101	1108	1	2200	40	6	2	0	[]
11080102	1108	1	2220	40	6	2	0	[]
11080103	1108	1	2240	40	6	2	0	[]
11080104	1108	1	2260	40	6	2	0	[]
11080105	1108	1	2280	40	6	2	0	[]
11080106	1108	1	2300	40	6	2	0	[]
11080107	1108	1	2320	40	6	2	0	[]
11080108	1108	1	2340	40	6	2	0	[]
11080109	1108	1	2360	40	6	2	0	[]
11080110	1108	1	2380	40	6	2	0	[]
11080111	1108	1	2400	40	6	2	0	[]
11080112	1108	1	2420	40	6	2	0	[]
11080113	1108	1	2440	40	6	2	0	[]
11080114	1108	1	2460	40	6	2	0	[]
11080115	1108	1	2480	40	6	2	0	[]
11080116	1108	1	2500	40	6	2	0	[]
11080117	1108	1	2520	40	6	2	0	[]
11080118	1108	1	2540	40	6	2	0	[]
11080119	1108	1	2560	40	6	2	0	[]
11080120	1108	1	2580	40	6	2	0	[]
11080121	1108	1	2600	40	6	2	0	[]
11080122	1108	1	2620	40	6	2	0	[]
11080123	1108	1	2640	40	6	2	0	[]
11080124	1108	1	2660	40	6	2	0	[]
11080125	1108	1	2680	40	6	2	0	[]
11080126	1108	1	2700	40	6	2	0	[]
11080127	1108	1	2720	40	6	2	0	[]
11080128	1108	1	2740	40	6	2	0	[]
11080129	1108	1	2760	40	6	2	0	[]
11080130	1108	1	2780	40	6	2	0	[]
11080131	1108	1	2800	40	6	2	0	[]
11080132	1108	1	2820	40	6	2	0	[]
11080133	1108	1	2840	40	6	2	0	[]
11080134	1108	1	2860	40	6	2	0	[]
11080135	1108	1	2880	40	6	2	0	[]
11080136	1108	1	2900	40	6	2	0	[]
11080137	1108	1	2920	40	6	2	0	[]
11080138	1108	1	2940	40	6	2	0	[]
11080139	1108	1	2960	40	6	2	0	[]
11080140	1108	1	2980	40	6	2	0	[]
11080141	1108	1	3000	40	6	2	0	[]
11080142	1108	1	3020	40	6	2	0	[]
11080143	1108	1	3040	40	6	2	0	[]
11080144	1108	1	3060	40	6	2	0	[]
11080145	1108	1	3080	40	6	2	0	[]
11080146	1108	1	3100	40	6	2	0	[]
11080147	1108	1	3120	40	6	2	0	[]
11080148	1108	1	3140	40	6	2	0	[]
11080149	1108	1	3160	40	6	2	0	[]
11080150	1108	1	3180	40	6	2	0	[]
11080151	1108	1	3200	40	6	2	0	[]
11080152	1108	1	3220	40	6	2	0	[]
11080153	1108	1	3240	40	6	2	0	[]
11080154	1108	1	3260	40	6	2	0	[]
11080155	1108	1	3280	40	6	2	0	[]
11080156	1108	1	3300	40	6	2	0	[]
11080157	1108	1	3320	40	6	2	0	[]
11080158	1108	1	3340	40	6	2	0	[]
11080159	1108	1	3360	40	6	2	0	[]
11080160	1108	1	3380	40	6	2	0	[]
11080161	1108	1	3400	40	6	2	0	[]
11080162	1108	1	3420	40	6	2	0	[]
11080163	1108	1	3440	40	6	2	0	[]
11080164	1108	1	3460	40	6	2	0	[]
11080165	1108	1	3480	40	6	2	0	[]
11080166	1108	1	3500	40	6	2	0	[]
11080167	1108	1	3520	40	6	2	0	[]
11080168	1108	1	3540	40	6	2	0	[]
11080169	1108	1	3560	40	6	2	0	[]
11080170	1108	1	3580	40	6	2	0	[]
11080171	1108	1	3600	40	6	2	0	[]
11080172	1108	1	3620	40	6	2	0	[]
11080173	1108	1	3640	40	6	2	0	[]
11080174	1108	1	3660	40	6	2	0	[]
11080175	1108	1	3680	40	6	2	0	[]
11080176	1108	1	3700	40	6	2	0	[]
11080177	1108	1	3720	40	6	2	0	[]
11080178	1108	1	3740	40	6	2	0	[]
11080179	1108	1	3760	40	6	2	0	[]
11080180	1108	1	3780	40	6	2	0	[]
11080181	1108	1	3800	40	6	2	0	[]
11080182	1108	1	3820	40	6	2	0	[]
11080183	1108	1	3840	40	6	2	0	[]
11080184	1108	1	3860	40	6	2	0	[]
11080185	1108	1	3880	40	6	2	0	[]
11080186	1108	1	3900	40	6	2	0	[]
11080187	1108	1	3920	40	6	2	0	[]
11080188	1108	1	3940	40	6	2	0	[]
11080189	1108	1	3960	40	6	2	0	[]
11080190	1108	1	3980	40	6	2	0	[]
11080191	1108	1	4000	40	6	2	0	[]
11080192	1108	1	4020	40	6	2	0	[]
11080193	1108	1	4040	40	6	2	0	[]
11080194	1108	1	4060	40	6	2	0	[]
11080195	1108	1	4080	40	6	2	0	[]
11080196	1108	1	4100	40	6	2	0	[]
11080197	1108	1	4120	40	6	2	0	[]
11080198	1108	1	4140	40	6	2	0	[]
11080199	1108	1	4160	40	6	2	0	[]
11080200	1108	1	4180	40	6	2	0	[]
90010001	9009	1	2500	40	1	6	0	[]
90010002	9001	1	400	20	1	2	0	[]
90010003	1108	1	400	40	1	2	0	[]
90010004	9001	1	800	20	1	2	0	[]
90010005	9001	1	300	40	1	2	0	[]
90010006	9001	1	320	40	1	2	0	[]
90010007	9001	1	240	40	1	2	0	[]
90010008	9001	1	640	20	8	2	0	[]
90010009	9001	1	720	20	1	2	0	[]
90010010	9001	1	800	20	8	2	0	[]
90010011	9001	1	880	20	5	2	0	[]
90010012	9001	1	960	20	8	2	0	[]
90010013	9001	1	1040	20	5	2	0	[]
90010014	9001	1	1120	20	5	2	0	[]
90010015	9001	1	1200	20	5	2	0	[]
90010016	9001	1	1280	20	8	2	0	[]
90010017	9001	1	1360	20	5	2	0	[]
90010018	9001	1	1440	20	8	2	0	[]
90010019	9001	1	1520	20	8	2	0	[]
90010020	9001	1	1600	20	5	2	0	[]
90010021	9001	1	1680	20	8	2	0	[]
90010022	9001	1	1760	20	8	2	0	[]
90010023	9001	1	1840	20	8	2	0	[]
90010024	9001	1	1920	20	8	2	0	[]
90010025	9001	1	2000	20	8	2	0	[]
90010026	9001	1	2080	20	8	2	0	[]
90010027	9001	1	2160	20	8	2	0	[]
90010028	9001	1	2240	20	8	2	0	[]
90010029	9001	1	2320	20	8	2	0	[]
90010030	9001	1	2400	20	5	2	0	[]
90010031	9001	1	2480	20	8	2	0	[]
90010032	9001	1	2560	20	8	2	0	[]
90010033	9001	1	2640	20	8	2	0	[]
90010034	9001	1	2720	20	8	2	0	[]
90010035	9001	1	2800	20	8	2	0	[]
90010036	9001	1	2880	20	8	2	0	[]
90010037	9001	1	2960	20	8	2	0	[]
90010038	9001	1	3040	20	8	2	0	[]
90010039	9001	1	3120	20	8	2	0	[]
90010040	9001	1	3200	20	8	2	0	[]
90010041	9001	1	3280	20	8	2	0	[]
90010042	9001	1	3360	20	8	2	0	[]
90010043	9001	1	3440	20	8	2	0	[]
90010044	9001	1	3520	20	8	2	0	[]
90010045	9001	1	3600	20	8	2	0	[]
90010046	9001	1	3680	20	8	2	0	[]
90010047	9001	1	3760	20	8	2	0	[]
90010048	9001	1	3840	20	8	2	0	[]
90010049	9001	1	3920	20	8	2	0	[]
90010050	9001	1	4000	20	8	2	0	[]
90010051	9001	1	4080	20	8	2	0	[]
90010052	9001	1	4160	20	8	2	0	[]
90010053	9001	1	4240	20	8	2	0	[]
90010054	9001	1	4320	20	8	2	0	[]
90010055	9001	1	4400	20	8	2	0	[]
90010056	9001	1	4480	20	8	2	0	[]
90010057	9001	1	4560	20	8	2	0	[]
90010058	9001	1	4640	20	8	2	0	[]
90010059	9001	1	4720	20	8	2	0	[]
90010060	9001	1	4800	20	8	2	0	[]
90010061	9001	1	4880	20	8	2	0	[]
90010062	9001	1	4960	20	8	2	0	[]
90010063	9001	1	5040	20	8	2	0	[]
90010064	9001	1	5120	20	8	2	0	[]
90010065	9001	1	5200	20	8	2	0	[]
90010066	9001	1	5280	20	8	2	0	[]
90010067	9001	1	5360	20	8	2	0	[]
90010068	9001	1	5440	20	8	2	0	[]
90010069	9001	1	5520	20	8	2	0	[]
90010070	9001	1	5600	20	8	2	0	[]
90010071	9001	1	5680	20	8	2	0	[]
90010072	9001	1	5760	20	8	2	0	[]
90010073	9001	1	5840	20	8	2	0	[]
90010074	9001	1	5920	20	8	2	0	[]
90010075	9001	1	6000	20	8	2	0	[]
90010076	9001	1	6080	20	8	2	0	[]
90010077	9001	1	6160	20	8	2	0	[]
90010078	9001	1	6240	20	8	2	0	[]
90010079	9001	1	6320	20	8	2	0	[]
90010080	9001	1	6400	20	8	2	0	[]
90010081	9001	1	6480	20	8	2	0	[]
90010082	9001	1	6560	20	8	2	0	[]
90010083	9001	1	6640	20	8	2	0	[]
90010084	9001	1	6720	20	8	2	0	[]
90010085	9001	1	6800	20	8	2	0	[]
90010086	9001	1	6880	20	8	2	0	[]
90010087	9001	1	6960	20	8	2	0	[]
90010088	9001	1	7040	20	8	2	0	[]
90010089	9001	1	7120	20	8	2	0	[]
90010090	9001	1	7200	20	8	2	0	[]
90010091	9001	1	7280	20	8	2	0	[]
90010092	9001	1	7360	20	8	2	0	[]
90010093	9001	1	7440	20	8	2	0	[]
90010094	9001	1	7520	20	8	2	0	[]
90010095	9001	1	7600	20	8	2	0	[]
90010096	9001	1	7680	20	8	2	0	[]
90010097	9001	1	7760	20	8	2	0	[]
90010098	9001	1	7840	20	8	2	0	[]
90010099	9001	1	7920	20	8	2	0	[]
90010100	9001	1	8000	20	8	2	0	[]
90010101	9001	1	8080	20	8	2	0	[]
90010102	9001	1	8160	20	8	2	0	[]
90010103	9001	1	8240	20	8	2	0	[]
90010104	9001	1	8320	20	8	2	0	[]
90010105	9001	1	8400	20	8	2	0	[]
90010106	9001	1	8480	20	8	2	0	[]
90010107	9001	1	8560	20	8	2	0	[]
90010108	9001	1	8640	20	8	2	0	[]
90010109	9001	1	8720	20	8	2	0	[]
90010110	9001	1	8800	20	8	2	0	[]
90010111	9001	1	8880	20	8	2	0	[]
90010112	9001	1	8960	20	8	2	0	[]
90010113	9001	1	9040	20	8	2	0	[]
90010114	9001	1	9120	20	8	2	0	[]
90010115	9001	1	9200	20	8	2	0	[]
90010116	9001	1	9280	20	8	2	0	[]
90010117	9001	1	9360	20	8	2	0	[]
90010118	9001	1	9440	20	8	2	0	[]
90010119	9001	1	9520	20	8	2	0	[]
90010120	9001	1	9600	20	8	2	0	[]
90010121	9001	1	9680	20	8	2	0	[]
90010122	9001	1	9760	20	8	2	0	[]
90010123	9001	1	9840	20	8	2	0	[]
90010124	9001	1	9920	20	8	2	0	[]
90010125	9001	1	10000	20	8	2	0	[]
90010126	9001	1	10080	20	8	2	0	[]
90010127	9001	1	10160	20	8	2	0	[]
90010128	9001	1	10240	20	8	2	0	[]
90010129	9001	1	10320	20	8	2	0	[]
90010130	9001	1	10400	20	8	2	0	[]
90010131	9001	1	10480	20	8	2	0	[]
90010132	9001	1	10560	20	8	2	0	[]
90010133	9001	1	10640	20	8	2	0	[]
90010134	9001	1	10720	20	8	2	0	[]
90010135	9001	1	10800	20	8	2	0	[]
90010136	9001	1	10880	20	8	2	0	[]
90010137	9001	1	10960	20	8	2	0	[]
90010138	9001	1	11040	20	8	2	0	[]
90010139	9001	1	11120	20	8	2	0	[]
90010140	9001	1	11200	20	8	2	0	[]
90010141	9001	1	11280	20	8	2	0	[]
90010142	9001	1	11360	20	8	2	0	[]
90010143	9001	1	11440	20	8	2	0	[]
90010144	9001	1	11520	20	8	2	0	[]
90010145	9001	1	11600	20	8	2	0	[]
90010146	9001	1	11680	20	8	2	0	[]
90010147	9001	1	11760	20	8	2	0	[]
90010148	9001	1	11840	20	8	2	0	[]
90010149	9001	1	11920	20	8	2	0	[]
90010150	9001	1	12000	20	8	2	0	[]
90010151	9001	1	12080	20	8	2	0	[]
90010152	9001	1	12160	20	8	2	0	[]
90010153	9001	1	12240	20	8	2	0	[]
90010154	9001	1	12320	20	8	2	0	[]
90010155	9001	1	12400	20	8	2	0	[]
90010156	9001	1	12480	20	8	2	0	[]
90010157	9001	1	12560	20	8	2	0	[]
90010158	9001	1	12640	20	8	2	0	[]
90010159	9001	1	12720	20	8	2	0	[]
90010160	9001	1	12800	20	8	2	0	[]
90010161	9001	1	12880	20	8	2	0	[]
90010162	9001	1	12960	20	8	2	0	[]
90010163	9001	1	13040	20	8	2	0	[]
90010164	9001	1	13120	20	8	2	0	[]
90010165	9001	1	13200	20	8	2	0	[]
90010166	9001	1	13280	20	8	2	0	[]
90010167	9001	1	13360	20	8	2	0	[]
90010168	9001	1	13440	20	8	2	0	[]
90010169	9001	1	13520	20	8	2	0	[]
90010170	9001	1	13600	20	8	2	0	[]
90010171	9001	1	13680	20	8	2	0	[]
90010172	9001	1	13760	20	8	2	0	[]
90010173	9001	1	13840	20	8	2	0	[]
90010174	9001	1	13920	20	8	2	0	[]
90010175	9001	1	14000	20	8	2	0	[]
90010176	9001	1	14080	20	8	2	0	[]
90010177	9001	1	14160	20	8	2	0	[]
90010178	9001	1	14240	20	8	2	0	[]
90010179	9001	1	14320	20	8	2	0	[]
90010180	9001	1	14400	20	8	2	0	[]
90010181	9001	1	14480	20	8	2	0	[]
90010182	9001	1	14560	20	8	2	0	[]
90010183	9001	1	14640	20	8	2	0	[]
90010184	9001	1	14720	20	8	2	0	[]
90010185	9001	1	14800	20	8	2	0	[]
90010186	9001	1	14880	20	8	2	0	[]
90010187	9001	1	14960	20	8	2	0	[]
90010188	9001	1	15040	20	8	2	0	[]
90010189	9001	1	15120	20	8	2	0	[]
90010190	9001	1	15200	20	8	2	0	[]
90010191	9001	1	15280	20	8	2	0	[]
90010192	9001	1	15360	20	8	2	0	[]
90010193	9001	1	15440	20	8	2	0	[]
90010194	9001	1	15520	20	8	2	0	[]
90010195	9001	1	15600	20	8	2	0	[]
90010196	9001	1	15680	20	8	2	0	[]
90010197	9001	1	15760	20	8	2	0	[]
90010198	9001	1	15840	20	8	2	0	[]
90010199	9001	1	15920	20	8	2	0	[]
90010200	9001	1	16000	25	8	2	0	[]
21010001	2101	1	2725	40	1	2	0	[]
21010002	2101	1	2740	40	1	2	0	[]
21010003	2101	1	2755	40	1	2	0	[]
21010004	2101	1	2770	40	1	2	0	[]
21010005	2101	1	2785	40	1	2	0	[]
21010006	2101	1	2800	40	1	2	0	[]
21010007	2101	1	2815	40	1	2	0	[]
21010008	2101	1	2830	40	1	2	0	[]
21010009	2101	1	2845	40	1	2	0	[]
21010010	2101	1	2860	40	1	2	0	[]
21010011	2101	1	2875	40	1	2	0	[]
21010012	2101	1	2890	40	1	2	0	[]
21010013	2101	1	2905	40	1	2	0	[]
21010014	2101	1	2920	40	1	2	0	[]
21010015	2101	1	2935	40	1	2	0	[]
21010016	2101	1	2950	40	1	2	0	[]
21010017	2101	1	2965	40	1	2	0	[]
21010018	2101	1	2980	40	1	2	0	[]
21010019	2101	1	2995	40	1	2	0	[]
21010020	2101	1	3010	40	1	2	0	[]
21010021	2101	1	3025	40	1	2	0	[]
21010022	2101	1	3040	40	1	2	0	[]
21010023	2101	1	3055	40	1	2	0	[]
21010024	2101	1	3070	40	1	2	0	[]
21010025	2101	1	3085	40	1	2	0	[]
21010026	2101	1	3100	40	1	2	0	[]
21010027	2101	1	3115	40	1	2	0	[]
21010028	2101	1	3130	40	1	2	0	[]
21010029	2101	1	3145	40	1	2	0	[]
21010030	2101	1	3160	40	1	2	0	[]
21010031	2101	1	3175	40	1	2	0	[]
21010032	2101	1	3190	40	1	2	0	[]
21010033	2101	1	3205	40	1	2	0	[]
21010034	2101	1	3220	40	1	2	0	[]
21010035	2101	1	3235	40	1	2	0	[]
21010036	2101	1	3250	40	1	2	0	[]
21010037	2101	1	3265	40	1	2	0	[]
21010038	2101	1	3280	40	1	2	0	[]
21010039	2101	1	3295	40	1	2	0	[]
21010040	2101	1	3310	40	1	2	0	[]
21010041	2101	1	3325	40	1	2	0	[]
21010042	2101	1	3340	40	1	2	0	[]
21010043	2101	1	3355	40	1	2	0	[]
21010044	2101	1	3370	40	1	2	0	[]
21010045	2101	1	3385	40	1	2	0	[]
21010046	2101	1	3400	40	1	2	0	[]
21010047	2101	1	3415	40	1	2	0	[]
21010048	2101	1	3430	40	1	2	0	[]
21010049	2101	1	3445	40	1	2	0	[]
21010050	2101	1	3460	40	1	2	0	[]
21010051	2101	1	3475	40	1	2	0	[]
21010052	2101	1	3490	40	1	2	0	[]
21010053	2101	1	3505	40	1	2	0	[]
21010054	2101	1	3520	40	1	2	0	[]
21010055	2101	1	3535	40	1	2	0	[]
21010056	2101	1	3550	40	1	2	0	[]
21010057	2101	1	3565	40	1	2	0	[]
21010058	2101	1	3580	40	1	2	0	[]
21010059	2101	1	3595	40	1	2	0	[]
21010060	2101	1	3610	40	1	2	0	[]
21010061	2101	1	3625	40	1	2	0	[]
21010062	2101	1	3640	40	1	2	0	[]
21010063	2101	1	3655	40	1	2	0	[]
21010064	2101	1	3670	40	1	2	0	[]
21010065	2101	1	3685	40	1	2	0	[]
21010066	2101	1	3700	40	1	2	0	[]
21010067	2101	1	3715	40	1	2	0	[]
21010068	2101	1	3730	40	1	2	0	[]
21010069	2101	1	3745	40	1	2	0	[]
21010070	2101	1	3760	40	1	2	0	[]
21010071	2101	1	3775	40	1	2	0	[]
21010072	2101	1	3790	40	1	2	0	[]
21010073	2101	1	3805	40	1	2	0	[]
21010074	2101	1	3820	40	1	2	0	[]
21010075	2101	1	3835	40	1	2	0	[]
21010076	2101	1	3850	40	1	2	0	[]
21010077	2101	1	3865	40	1	2	0	[]
21010078	2101	1	3880	40	1	2	0	[]
21010079	2101	1	3895	40	1	2	0	[]
21010080	2101	1	3910	40	1	2	0	[]
21010081	2101	1	3925	40	1	2	0	[]
21010082	2101	1	3940	40	1	2	0	[]
21010083	2101	1	3955	40	1	2	0	[]
21010084	2101	1	3970	40	1	2	0	[]
21010085	2101	1	3985	40	1	2	0	[]
21010086	2101	1	4000	40	1	2	0	[]
21010087	2101	1	4015	40	1	2	0	[]
21010088	2101	1	4030	40	1	2	0	[]
21010089	2101	1	4045	40	1	2	0	[]
21010090	2101	1	4060	40	1	2	0	[]
21010091	2101	1	4075	40	1	2	0	[]
21010092	2101	1	4090	40	1	2	0	[]
21010093	2101	1	4105	40	1	2	0	[]
21010094	2101	1	4120	40	1	2	0	[]
21010095	2101	1	4135	40	1	2	0	[]
21010096	2101	1	4150	40	1	2	0	[]
21010097	2101	1	4165	40	1	2	0	[]
21010098	2101	1	4180	40	1	2	0	[]
21010099	2101	1	4195	40	1	2	0	[]
21010100	2101	1	4210	40	1	2	0	[]
21010101	2101	1	4225	40	1	2	0	[]
21010102	2101	1	4240	40	1	2	0	[]
21010103	2101	1	4255	40	1	2	0	[]
21010104	2101	1	4270	40	1	2	0	[]
21010105	2101	1	4285	40	1	2	0	[]
21010106	2101	1	4300	40	1	2	0	[]
21010107	2101	1	4315	40	1	2	0	[]
21010108	2101	1	4330	40	1	2	0	[]
21010109	2101	1	4345	40	1	2	0	[]
21010110	2101	1	4360	40	1	2	0	[]
21010111	2101	1	4375	40	1	2	0	[]
21010112	2101	1	4390	40	1	2	0	[]
21010113	2101	1	4405	40	1	2	0	[]
21010114	2101	1	4420	40	1	2	0	[]
21010115	2101	1	4435	40	1	2	0	[]
21010116	2101	1	4450	40	1	2	0	[]
21010117	2101	1	4465	40	1	2	0	[]
21010118	2101	1	4480	40	1	2	0	[]
21010119	2101	1	4495	40	1	2	0	[]
21010120	2101	1	4510	40	1	2	0	[]
21010121	2101	1	4525	40	1	2	0	[]
21010122	2101	1	4540	40	1	2	0	[]
21010123	2101	1	4555	40	1	2	0	[]
21010124	2101	1	4570	40	1	2	0	[]
21010125	2101	1	4585	40	1	2	0	[]
21010126	2101	1	4600	40	1	2	0	[]
21010127	2101	1	4615	40	1	2	0	[]
21010128	2101	1	4630	40	1	2	0	[]
21010129	2101	1	4645	40	1	2	0	[]
21010130	2101	1	4660	40	1	2	0	[]
21010131	2101	1	4675	40	1	2	0	[]
21010132	2101	1	4690	40	1	2	0	[]
21010133	2101	1	4705	40	1	2	0	[]
21010134	2101	1	4720	40	1	2	0	[]
21010135	2101	1	4735	40	1	2	0	[]
21010136	2101	1	4750	40	1	2	0	[]
21010137	2101	1	4765	40	1	2	0	[]
21010138	2101	1	4780	40	1	2	0	[]
21010139	2101	1	4795	40	1	2	0	[]
21010140	2101	1	4810	40	1	2	0	[]
21010141	2101	1	4825	40	1	2	0	[]
21010142	2101	1	4840	40	1	2	0	[]
21010143	2101	1	4855	40	1	2	0	[]
21010144	2101	1	4870	40	1	2	0	[]
21010145	2101	1	4885	40	1	2	0	[]
21010146	2101	1	4900	40	1	2	0	[]
21010147	2101	1	4915	40	1	2	0	[]
21010148	2101	1	4930	40	1	2	0	[]
21010149	2101	1	4945	40	1	2	0	[]
21010150	2101	1	4960	40	1	2	0	[]
21010151	2101	1	4975	40	1	2	0	[]
21010152	2101	1	4990	40	1	2	0	[]
21010153	2101	1	5005	40	1	2	0	[]
21010154	2101	1	5020	40	1	2	0	[]
21010155	2101	1	5035	40	1	2	0	[]
21010156	2101	1	5050	40	1	2	0	[]
21010157	2101	1	5065	40	1	2	0	[]
21010158	2101	1	5080	40	1	2	0	[]
21010159	2101	1	5095	40	1	2	0	[]
21010160	2101	1	5110	40	1	2	0	[]
21010161	2101	1	5155	40	1	2	0	[]
21010162	2101	1	5200	40	1	2	0	[]
21010163	2101	1	5245	40	1	2	0	[]
21010164	2101	1	5290	40	1	2	0	[]
21010165	2101	1	5335	40	1	2	0	[]
21010166	2101	1	5380	40	1	2	0	[]
21010167	2101	1	5425	40	1	2	0	[]
21010168	2101	1	5470	40	1	2	0	[]
21010169	2101	1	5515	40	1	2	0	[]
21010170	2101	1	5560	40	1	2	0	[]
21010171	2101	1	5605	40	1	2	0	[]
21010172	2101	1	5650	40	1	2	0	[]
21010173	2101	1	5695	40	1	2	0	[]
21010174	2101	1	5740	40	1	2	0	[]
21010175	2101	1	5785	40	1	2	0	[]
21010176	2101	1	5830	40	1	2	0	[]
21010177	2101	1	5875	40	1	2	0	[]
21010178	2101	1	5920	40	1	2	0	[]
21010179	2101	1	5965	40	1	2	0	[]
21010180	2101	1	6010	40	1	2	0	[]
21010181	2101	1	6055	40	1	2	0	[]
21010182	2101	1	6100	40	1	2	0	[]
21010183	2101	1	6145	40	1	2	0	[]
21010184	2101	1	6190	40	1	2	0	[]
21010185	2101	1	6235	40	1	2	0	[]
21010186	2101	1	6280	40	1	2	0	[]
21010187	2101	1	6325	40	1	2	0	[]
21010188	2101	1	6370	40	1	2	0	[]
21010189	2101	1	6415	40	1	2	0	[]
21010190	2101	1	6460	40	1	2	0	[]
21010191	2101	1	6505	40	1	2	0	[]
21010192	2101	1	6550	40	1	2	0	[]
21010193	2101	1	6595	40	1	2	0	[]
21010194	2101	1	6640	40	1	2	0	[]
21010195	2101	1	6685	40	1	2	0	[]
21010196	2101	1	6730	40	1	2	0	[]
21010197	2101	1	6775	40	1	2	0	[]
21010198	2101	1	6820	40	1	2	0	[]
21010199	2101	1	6865	40	1	2	0	[]
21010200	2101	1	6910	40	1	2	0	[]
21020001	2102	1	2725	40	1	2	0	[]
21020002	2102	1	2740	40	1	2	0	[]
21020003	2102	1	2755	40	1	2	0	[]
21020004	2102	1	2770	40	1	2	0	[]
21020005	2102	1	2785	40	1	2	0	[]
21020006	2102	1	2800	40	1	2	0	[]
21020007	2102	1	2815	40	1	2	0	[]
21020008	2102	1	2830	40	1	2	0	[]
21020009	2102	1	2845	40	1	2	0	[]
21020010	2102	1	2860	40	1	2	0	[]
21020011	2102	1	2875	40	1	2	0	[]
21020012	2102	1	2890	40	1	2	0	[]
21020013	2102	1	2905	40	1	2	0	[]
21020014	2102	1	2920	40	1	2	0	[]
21020015	2102	1	2935	40	1	2	0	[]
21020016	2102	1	2950	40	1	2	0	[]
21020017	2102	1	2965	40	1	2	0	[]
